,level_0,level_1,level_2,level_3,Model Family,BEV,ICE,PHEV
237,Geely,Lynk & co Car,Car,Model family 5,Southeast Asia,0.37000000000000005,0.26,0
238,Geely,Lynk & co Car,Car,Model family 5,UK,0.37000000000000005,0.26,0.56
239,Geely,Lynk & co Car,Car,Model family 5,United States,0,0.25,0.31000000000000005
240,Geely,Lynk & co Car,Car,Model family 6,Australia,0.29000000000000004,0.18,0.48000000000000004
241,Geely,Lynk & co Car,Car,Model family 6,Canada,0.29000000000000004,0.18,0
242,Geely,Lynk & co Car,Car,Model family 6,France,0.29000000000000004,0.18,0
243,Geely,Lynk & co Car,Car,Model family 6,Germany,0,0.16999999999999998,0.23000000000000004
244,Geely,Lynk & co Car,Car,Model family 6,India,0.43000000000000005,0.16999999999999998,0.23000000000000004
245,Geely,Lynk & co Car,Car,Model family 6,Japan,0,0.16999999999999998,0.23000000000000004
246,Geely,Lynk & co Car,Car,Model family 6,People's Republic of China (mainland),0.29000000000000004,0.18,0
247,Geely,Lynk & co Car,Car,Model family 6,Rest of Asia Pacific,0.29000000000000004,0.18,0.48000000000000004
248,Geely,Lynk & co Car,Car,Model family 6,Rest of Central & Eastern Europe,0.29000000000000004,0.18,0.48000000000000004
249,Geely,Lynk & co Car,Car,Model family 6,Rest of Greater China,0,0.16999999999999998,0.23000000000000004
250,Geely,Lynk & co Car,Car,Model family 6,Rest of Latin America,0.43000000000000005,0.16999999999999998,0.23000000000000004
251,Geely,Lynk & co Car,Car,Model family 6,Rest of Middle East,0.43000000000000005,0.16999999999999998,0.23000000000000004
252,Geely,Lynk & co Car,Car,Model family 6,South Korea,0.43000000000000005,0.16999999999999998,0.23000000000000004
253,Geely,Lynk & co Car,Car,Model family 6,Southeast Asia,0.29000000000000004,0.18,0
254,Geely,Lynk & co Car,Car,Model family 6,UK,0.29000000000000004,0.18,0.48000000000000004
255,Geely,Lynk & co Car,Car,Model family 6,United States,0,0.16999999999999998,0.23000000000000004
256,Geely,Lynk & co Car,Car,Model family 7,Australia,0.02,0.02,0.02
